pet_type_id,type,age,gender,vaccinated,spayed_neutered,adoption_story,extracted_temperaments
1,Cat,Kitten,Male,No,No,rescued,"energetic, playful"
2,Dog,Puppy,Female,Yes,No,adopted,active
3,Dog,Puppy,Male,No,No,adopted,"cute, playful, cute, loving"
4,Cat,Kitten,Female,No,No,adopted,active
5,Cat,Adult,Female,Not Sure,Not Sure,rescued,"gentle, cute, soft"
6,Cat,Kitten,Female,Yes,No,adopted,"playful, active"
7,Dog,Puppy,Male,Yes,No,rescued,"active, loving"
8,Dog,Adult,Male,Not Sure,Not Sure,rescued,"friendly, loyal"
9,Cat,Kitten,Female,Yes,Yes,adopted,friendly
10,Dog,Puppy,Female,No,Yes,adopted,active
11,Dog,Adult,Female,No,Yes,rescued,loving
12,Dog,Puppy,Female,Yes,Yes,rescued,friendly
13,Cat,Adult,Male,Yes,Yes,adopted,soft
14,Cat,Kitten,Male,No,No,adopted,"cute, easy, playful"
15,Dog,Adult,Male,Yes,No,adopted,active
16,Dog,Adult,Male,No,No,rescued,"loving, friendly"
17,Cat,Kitten,Female,No,No,adopted,"loving, easy"
18,Dog,Puppy,Male,Yes,Yes,adopted,"friendly, active, playful"
19,Dog,Adult,Male,No,Yes,adopted,sweet
20,Cat,Kitten,Male,Yes,No,adopted,"cute, active"
21,Dog,Adult,Female,Yes,Yes,adopted,"calm, gentle, friendly, loyal, obedient"
22,Cat,Kitten,Male,Yes,Yes,adopted,friendly
23,Dog,Puppy,Male,Yes,No,adopted,loving
24,Dog,Puppy,Female,Not Sure,Not Sure,adopted,"active, obedient, cute"
25,Cat,Kitten,Male,No,No,rescued,"sweet, friendly"
26,Dog,Adult,Female,Yes,Yes,adopted,"friendly, easy"
27,Dog,Puppy,Male,No,No,adopted,active
28,Dog,Puppy,Male,Yes,Not Sure,adopted,friendly
29,Cat,Kitten,Female,No,No,adopted,loving
30,Cat,Kitten,Female,No,No,adopted,soft
31,Dog,Adult,Male,Yes,Yes,adopted,friendly
32,Dog,Puppy,Male,Yes,No,rescued,active
33,Dog,Puppy,Female,No,No,rescued,"active, friendly"
34,Dog,Adult,Female,Yes,Yes,adopted,"active, playful, obedient"
35,Dog,Puppy,Female,Yes,No,rescued,cute
36,Dog,Puppy,Male,No,No,adopted,calm
37,Dog,Puppy,Male,Not Sure,No,adopted,sweet
38,Cat,Kitten,Female,No,No,adopted,"active, playful"
39,Dog,Adult,Female,Yes,Yes,adopted,"fast, wise, smart"
40,Dog,Puppy,Male,Yes,No,adopted,"cute, playful"
41,Dog,Puppy,Female,Not Sure,Yes,adopted,"cute, obedient, friendly, playful, active"
42,Dog,Adult,Female,Not Sure,Yes,rescued,"protective, friendly"
43,Dog,Adult,Male,Yes,Yes,adopted,obedient
44,Cat,Kitten,Female,Yes,No,adopted,"sweet, warm"
45,Dog,Puppy,Female,No,No,adopted,"playful, sweet"
46,Cat,Kitten,Female,No,No,adopted,"cute, active, playful"
47,Dog,Puppy,Female,Yes,No,adopted,active
48,Cat,Kitten,Female,Yes,No,rescued,"active, playful, affectionate, independent"
49,Dog,Senior,Male,Not Sure,Not Sure,rescued,"warm, obedient, easy, precious, loving"
50,Dog,Puppy,Female,No,No,adopted,"playful, loving"
51,Dog,Adult,Female,Yes,No,adopted,friendly
52,Cat,Adult,Male,Yes,No,adopted,friendly
53,Dog,Adult,Male,Yes,Yes,adopted,"loving, sweet, funny, loving, affectionate, sweet, fast, loving"
54,Dog,Adult,Male,Yes,No,adopted,smart
55,Cat,Kitten,Male,No,No,rescued,"playful, active"
56,Dog,Puppy,Male,Yes,Yes,rescued,gentle
57,Dog,Adult,Female,Not Sure,Not Sure,rescued,"loving, loving"
58,Dog,Puppy,Male,Yes,No,rescued,"sweet, friendly, playful"
59,Dog,Puppy,Female,No,No,adopted,"affectionate, warm, cute, loving"
60,Cat,Kitten,Male,Yes,No,adopted,"playful, energetic"
61,Cat,Adult,Male,No,No,adopted,energetic
62,Dog,Puppy,Male,No,No,adopted,cute
63,Dog,Adult,Female,Yes,Yes,adopted,"gentle, playful"
64,Dog,Adult,Female,Yes,Yes,rescued,"sweet, calm, gentle, loyal"
65,Cat,Adult,Female,Not Sure,Yes,adopted,"friendly, playful, gentle"
66,Dog,Adult,Male,Yes,Yes,rescued,loving
67,Cat,Adult,Female,Not Sure,Yes,adopted,soft
68,Cat,Adult,Male,No,No,adopted,sweet
69,Cat,Kitten,Female,Yes,No,adopted,active
70,Dog,Adult,Female,Not Sure,Not Sure,rescued,friendly
71,Dog,Adult,Male,Yes,Yes,adopted,energetic
72,Cat,Kitten,Male,Not Sure,No,adopted,"active, playful"
73,Dog,Adult,Male,Yes,Yes,rescued,"loving, warm, smart, warm"
74,Cat,Kitten,Male,No,No,rescued,loving
75,Cat,Kitten,Female,No,No,adopted,playful
76,Dog,Puppy,Male,Yes,No,adopted,sweet
77,Cat,Adult,Male,Yes,Yes,rescued,independent
78,Dog,Adult,Male,Yes,No,adopted,"playful, obedient"
79,Dog,Adult,Male,Not Sure,No,rescued,active
80,Dog,Adult,Female,Yes,No,rescued,"tender, loving"
81,Dog,Puppy,Male,No,No,adopted,"cute, sweet"
82,Dog,Adult,Female,Yes,Yes,adopted,"friendly, independent"
83,Dog,Puppy,Female,No,No,adopted,playful
84,Dog,Puppy,Female,No,No,adopted,playful
85,Cat,Kitten,Male,Yes,Not Sure,adopted,"playful, active"
86,Dog,Adult,Female,Yes,Not Sure,adopted,"cute, loving, gentle"
87,Cat,Kitten,Male,Not Sure,Not Sure,rescued,cute
88,Dog,Puppy,Male,Yes,Not Sure,adopted,playful
89,Cat,Adult,Female,No,No,adopted,playful
90,Dog,Puppy,Male,Yes,Yes,adopted,friendly
91,Cat,Kitten,Male,Yes,No,rescued,"active, loving, playful, friendly, friendly"
92,Cat,Kitten,Female,Yes,Yes,adopted,"sweet, loving"
93,Dog,Puppy,Female,No,No,rescued,"cute, cute, playful, soft"
94,Dog,Puppy,Male,No,No,adopted,loyal
95,Dog,Adult,Male,Yes,Yes,rescued,"loving, loving"
96,Cat,Adult,Female,Yes,Yes,rescued,"friendly, affectionate, friendly"
97,Dog,Puppy,Female,No,No,adopted,sweet
98,Cat,Kitten,Male,No,No,adopted,active
99,Cat,Kitten,Female,No,No,adopted,"sweet, sweet"
100,Cat,Kitten,Male,Yes,Not Sure,adopted,"playful, curious"
101,Dog,Adult,Female,Yes,No,adopted,"cute, active"
102,Cat,Kitten,Female,Not Sure,Not Sure,rescued,"cute, loving"
103,Cat,Adult,Female,Yes,No,rescued,"loving, playful"
104,Cat,Kitten,Male,Not Sure,Not Sure,rescued,active
105,Dog,Puppy,Female,Yes,No,adopted,playful
106,Dog,Puppy,Female,Yes,No,adopted,"friendly, playful, cute"
107,Cat,Kitten,Female,No,No,adopted,"independent, loving"
108,Cat,Kitten,Female,Yes,No,adopted,playful
109,Cat,Kitten,Female,Yes,Yes,rescued,"playful, affectionate, friendly"
110,Cat,Kitten,Female,Not Sure,Not Sure,adopted,"cute, friendly, active"
111,Cat,Kitten,Female,Yes,Yes,rescued,"fresh, precious"
112,Dog,Adult,Female,Yes,Yes,adopted,loving
113,Dog,Puppy,Male,No,No,adopted,active
114,Dog,Puppy,Female,No,No,adopted,"friendly, funny"
115,Dog,Puppy,Male,Yes,No,rescued,"friendly, cute"
116,Dog,Puppy,Female,Yes,No,rescued,"active, energetic"
117,Cat,Kitten,Male,No,No,adopted,"active, loving"
118,Dog,Adult,Male,Yes,Yes,adopted,playful
119,Dog,Puppy,Female,Yes,No,rescued,sweet
120,Dog,Adult,Female,Not Sure,Yes,adopted,"affectionate, cute, sweet, loving"
121,Cat,Kitten,Female,No,No,rescued,"calm, curious"
122,Cat,Kitten,Male,No,No,rescued,playful
123,Dog,Puppy,Female,No,No,adopted,active
124,Cat,Adult,Male,Yes,No,adopted,"loving, obedient"
125,Dog,Adult,Female,Yes,Yes,rescued,"loyal, obedient"
126,Dog,Adult,Male,Yes,Yes,adopted,"obedient, playful, gentle"
127,Cat,Kitten,Male,No,No,adopted,active
128,Dog,Puppy,Female,Yes,No,rescued,"loving, playful"
129,Cat,Kitten,Male,Yes,No,adopted,friendly
130,Dog,Puppy,Female,No,No,adopted,active
131,Cat,Adult,Female,Yes,Yes,adopted,"active, smart"
132,Cat,Adult,Female,Yes,Yes,adopted,"sweet, curious, friendly, funny"
133,Dog,Adult,Female,Yes,Yes,adopted,active
134,Dog,Puppy,Male,Yes,No,adopted,playful
135,Dog,Puppy,Female,No,Yes,adopted,friendly
136,Dog,Puppy,Female,No,No,rescued,"loving, smart, easy, friendly, loving, obedient, obedient, loyal"
137,Cat,Adult,Male,Yes,Yes,adopted,active
138,Dog,Puppy,Female,No,No,adopted,"cute, friendly"
139,Dog,Adult,Female,Not Sure,Yes,adopted,loving
140,Dog,Puppy,Female,Yes,Yes,adopted,"playful, loyal"
141,Dog,Puppy,Male,No,No,adopted,"cute, calm"
142,Cat,Adult,Male,Not Sure,Not Sure,adopted,cute
143,Dog,Puppy,Male,Yes,No,rescued,cute
144,Cat,Kitten,Female,Yes,Yes,adopted,smart
145,Dog,Adult,Male,Not Sure,Not Sure,adopted,smart
146,Dog,Adult,Female,Yes,Yes,adopted,"sweet, sweet"
147,Dog,Puppy,Female,Yes,No,adopted,"sweet, friendly, playful, sweet"
148,Dog,Puppy,Female,Yes,Yes,rescued,cute
149,Cat,Kitten,Male,No,No,adopted,affectionate
150,Cat,Kitten,Female,No,No,adopted,"active, cute"
151,Dog,Puppy,Male,No,No,adopted,cute
152,Dog,Puppy,Female,Yes,No,rescued,calm
153,Dog,Puppy,Female,Yes,No,adopted,calm
154,Cat,Kitten,Female,No,No,adopted,sweet
155,Cat,Kitten,Male,Yes,Yes,adopted,"curious, fast, smart, friendly, warm"
156,Dog,Puppy,Male,Yes,No,adopted,active
157,Cat,Kitten,Male,Not Sure,Not Sure,adopted,friendly
158,Cat,Kitten,Female,No,No,rescued,affectionate
159,Cat,Kitten,Female,No,No,adopted,precious
160,Cat,Kitten,Male,No,No,rescued,active
161,Cat,Kitten,Female,No,No,adopted,"loving, loving, active, playful"
162,Cat,Kitten,Female,Yes,Yes,adopted,sweet
163,Dog,Puppy,Male,Yes,No,rescued,smart
164,Dog,Puppy,Female,Not Sure,No,adopted,affectionate
165,Cat,Kitten,Female,Not Sure,No,adopted,cute
166,Dog,Puppy,Female,Yes,No,adopted,"smart, easy"
167,Dog,Puppy,Female,No,No,adopted,"warm, loving, active, cute"
168,Cat,Adult,Female,Yes,Yes,adopted,loving
169,Dog,Adult,Male,Yes,Yes,adopted,"protective, active, loyal"
170,Cat,Kitten,Male,No,No,adopted,active
171,Dog,Puppy,Female,No,No,rescued,gentle
172,Cat,Kitten,Female,No,No,adopted,cute
173,Dog,Puppy,Female,No,No,rescued,"soft, smart"
174,Dog,Puppy,Male,No,No,rescued,"docile, obedient, active, playful, loyal, gentle"
175,Dog,Puppy,Male,Yes,No,adopted,loving
176,Dog,Puppy,Male,No,No,rescued,loving
177,Cat,Kitten,Male,Not Sure,Not Sure,rescued,friendly
178,Cat,Kitten,Male,Yes,No,rescued,"active, playful"
179,Cat,Adult,Female,No,No,adopted,"friendly, friendly"
180,Dog,Adult,Female,Yes,No,adopted,"loving, loving"
181,Dog,Puppy,Female,Yes,No,adopted,friendly
182,Dog,Puppy,Female,Not Sure,Not Sure,rescued,"playful, active"
183,Dog,Puppy,Male,No,No,adopted,smart
184,Cat,Kitten,Male,Yes,Yes,adopted,playful
185,Cat,Adult,Male,No,Yes,rescued,"friendly, affectionate, obedient, docile"
186,Cat,Kitten,Female,No,No,rescued,"active, playful"
187,Dog,Puppy,Female,Yes,No,rescued,easy
188,Cat,Kitten,Male,Not Sure,Not Sure,adopted,friendly
189,Dog,Puppy,Female,No,No,rescued,energetic
190,Dog,Adult,Female,No,No,rescued,"protective, sweet, fast, gentle"
191,Cat,Kitten,Female,Not Sure,No,adopted,"cute, soft, affectionate, playful"
192,Dog,Puppy,Female,No,No,rescued,warm
193,Cat,Kitten,Male,No,No,adopted,playful
194,Cat,Kitten,Male,Not Sure,Not Sure,adopted,friendly
195,Cat,Kitten,Male,Yes,No,rescued,"cute, active"
196,Dog,Adult,Female,Yes,Yes,adopted,friendly
197,Cat,Kitten,Female,No,No,adopted,active
198,Dog,Puppy,Male,Yes,Yes,adopted,playful
199,Dog,Puppy,Female,Yes,No,adopted,"cute, cute"
200,Cat,Kitten,Male,No,No,adopted,"active, easy"
201,Dog,Puppy,Female,Yes,Yes,rescued,"gentle, gentle, gentle, easy, loyal, affectionate, gentle, friendly, friendly, docile"
202,Dog,Puppy,Male,Yes,No,rescued,"obedient, smart"
203,Dog,Puppy,Male,Not Sure,Not Sure,adopted,cute
204,Cat,Kitten,Male,No,No,rescued,"active, independent"
205,Cat,Kitten,Female,Yes,Yes,adopted,"warm, active"
206,Dog,Adult,Male,Yes,Yes,rescued,friendly
207,Cat,Adult,Male,Yes,No,adopted,active
208,Dog,Adult,Female,Yes,No,adopted,"smart, friendly"
209,Dog,Adult,Female,Yes,Yes,rescued,"playful, cute, active"
210,Cat,Kitten,Male,No,No,rescued,"playful, cute"
211,Cat,Adult,Male,Yes,Not Sure,rescued,"loving, sweet"
212,Dog,Puppy,Male,No,No,adopted,obedient
213,Dog,Puppy,Female,No,No,adopted,cute
214,Cat,Adult,Male,Yes,Yes,adopted,friendly
215,Dog,Adult,Male,Not Sure,Not Sure,adopted,"playful, active"
216,Dog,Adult,Female,Not Sure,Not Sure,rescued,loving
217,Cat,Kitten,Male,Not Sure,Not Sure,adopted,"cute, loving"
218,Dog,Adult,Female,Yes,Not Sure,rescued,"friendly, gentle"
219,Cat,Kitten,Female,No,No,adopted,"sweet, friendly, loving"
220,Dog,Puppy,Male,Yes,No,adopted,friendly
221,Cat,Kitten,Female,No,No,adopted,friendly
222,Dog,Puppy,Female,Yes,No,adopted,"soft, sweet"
223,Dog,Puppy,Female,Not Sure,No,rescued,"playful, cute"
224,Dog,Adult,Female,Not Sure,Not Sure,adopted,sweet
225,Dog,Adult,Female,Not Sure,No,rescued,cute
226,Dog,Puppy,Female,No,No,adopted,protective
227,Cat,Kitten,Male,No,No,adopted,soft
228,Dog,Adult,Male,Yes,Yes,rescued,"playful, loving"
229,Cat,Kitten,Male,Not Sure,Not Sure,adopted,"cute, friendly"
230,Dog,Puppy,Male,Yes,No,adopted,smart
231,Dog,Adult,Male,Yes,Yes,adopted,"obedient, smart"
232,Dog,Puppy,Female,Not Sure,No,adopted,friendly
233,Cat,Kitten,Male,Yes,Yes,rescued,"sweet, loving"
234,Dog,Puppy,Male,Not Sure,Not Sure,rescued,friendly
235,Cat,Adult,Male,Yes,Yes,adopted,friendly
236,Dog,Puppy,Male,No,Not Sure,adopted,cute
237,Cat,Kitten,Male,No,No,adopted,"active, playful"
238,Dog,Adult,Male,Yes,Yes,adopted,"sweet, playful, warm, friendly"
239,Cat,Kitten,Female,No,No,adopted,"cute, active, fast"
240,Dog,Puppy,Female,No,Not Sure,adopted,friendly
241,Dog,Puppy,Female,Yes,No,rescued,cute
242,Cat,Adult,Male,Yes,Yes,rescued,tender
243,Dog,Puppy,Male,Yes,Yes,rescued,friendly
244,Cat,Adult,Female,Not Sure,Yes,rescued,"gentle, friendly"
245,Cat,Kitten,Female,Not Sure,Not Sure,adopted,"gentle, loving"
246,Cat,Kitten,Male,No,No,adopted,cute
247,Dog,Puppy,Male,No,No,rescued,loving
248,Dog,Puppy,Female,Yes,No,rescued,active
249,Dog,Puppy,Male,Yes,Yes,adopted,"energetic, friendly, playful"
250,Cat,Kitten,Female,No,No,rescued,"active, active, playful, soft, active, playful"
251,Cat,Kitten,Male,No,No,rescued,friendly
252,Dog,Adult,Male,Yes,Yes,rescued,"friendly, active"
253,Dog,Puppy,Female,Yes,No,rescued,gentle
254,Cat,Kitten,Female,No,No,adopted,active
255,Dog,Adult,Male,Yes,Yes,rescued,loving
256,Cat,Kitten,Male,No,No,adopted,active
257,Cat,Kitten,Male,Yes,No,adopted,playful
258,Cat,Kitten,Female,Yes,Yes,adopted,friendly
259,Dog,Puppy,Female,Yes,Yes,adopted,"loving, cute"
260,Dog,Adult,Female,Not Sure,Yes,adopted,"loving, loving, loving"
261,Dog,Puppy,Male,Yes,No,adopted,friendly
262,Dog,Adult,Female,Not Sure,Not Sure,rescued,"friendly, independent, loving"
263,Cat,Adult,Male,No,Yes,adopted,"obedient, main"
264,Cat,Kitten,Female,Not Sure,Not Sure,rescued,"friendly, gentle"
265,Dog,Puppy,Male,Yes,Yes,adopted,"affectionate, friendly, loving"
266,Cat,Kitten,Male,Yes,No,adopted,"active, cute"
267,Cat,Adult,Male,No,Yes,adopted,"active, friendly"
268,Dog,Adult,Male,No,No,rescued,playful
269,Dog,Puppy,Female,No,No,adopted,cute
270,Dog,Adult,Male,Yes,No,adopted,playful
271,Dog,Puppy,Male,No,No,adopted,"active, playful"
272,Cat,Kitten,Female,No,No,rescued,affectionate
273,Cat,Adult,Female,Yes,Yes,rescued,"gentle, loving"
274,Dog,Adult,Female,Yes,Yes,adopted,sweet
275,Cat,Kitten,Female,No,No,rescued,"cute, soft, active, playful"
276,Cat,Kitten,Female,No,No,adopted,"cute, friendly"
277,Cat,Kitten,Male,No,No,adopted,loving
278,Dog,Puppy,Male,No,No,rescued,main
279,Dog,Senior,Female,Yes,Yes,adopted,friendly
280,Cat,Adult,Male,Not Sure,Not Sure,rescued,cute
281,Dog,Puppy,Female,No,No,rescued,soft
282,Cat,Kitten,Male,No,No,adopted,playful
283,Cat,Kitten,Female,Yes,No,adopted,"cute, playful"
284,Cat,Kitten,Male,No,No,rescued,loving
285,Dog,Puppy,Male,Yes,No,adopted,"active, obedient"
286,Dog,Adult,Male,Yes,Yes,adopted,firm
287,Dog,Puppy,Female,No,Yes,adopted,"warm, obedient"
288,Cat,Kitten,Male,No,No,rescued,gentle
289,Dog,Adult,Female,Yes,Yes,adopted,active
290,Cat,Kitten,Male,Yes,No,adopted,cute
291,Cat,Kitten,Female,No,No,adopted,gentle
292,Cat,Kitten,Male,Yes,No,adopted,fond
293,Dog,Puppy,Female,Yes,No,rescued,"sweet, loyal"
294,Dog,Puppy,Female,No,No,adopted,"active, playful, loving"
295,Dog,Puppy,Male,Not Sure,No,adopted,sweet
296,Cat,Kitten,Female,No,No,adopted,loving
297,Cat,Kitten,Male,No,No,adopted,playful
